Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FS","Données de la sécurité alimentaire","2","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","1814.2","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","12445.6","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","3","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","10504.1","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","4","Algérie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","13253.2","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","79","Allemagne","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","42914.5","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","6","Andorre","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","","NA","Non applicable"
"FS","Données de la sécurité alimentaire","7","Angola","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","6185","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","18862.8","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","49537.6","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","9","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","19482.2","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","1","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","7727.9","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","10","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","42920.1","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","11","Autriche","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","44161.5","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","16593.2","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","12","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","22714.8","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","13","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","43245.1","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","16","Bangladesh","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","2835.8","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
"FS","Données de la sécurité alimentaire","14","Barbade","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2011)","2013","2013","I$","15335.3","X","Sources internationales sûres (USDA,OMC,Banque Mondiale, FMI, UNICEF, UNSD)"
